Code,Mfr,Model,Type,Horsepower,Thrust
1520,AIRESEARCH,TSE331 SERIES,Turbo-shaft,800,
1521,AIRESEARCH,TPE331-6-251M,Turbo-prop,750,
1522,AIRESEARCH,TPE331-5-252M,Turbo-prop,750,
1523,AIRESEARCH,TFE-732-2-1C,Turbo-jet,,3230
1524,AIRESEARCH,ATF3-6A-4C,Turbo-jet,,5200
1525,AIRESEARCH,TPE331-25E,Turbo-prop,575,
1526,AIRESEARCH,TPE331-25F,Turbo-prop,575,
1527,AIRESEARCH,TPE331-25FA,Turbo-prop,575,
1528,AIRESEARCH,TPE331-29A,Turbo-prop,575,
1529,AIRESEARCH,TPE331-43,Turbo-prop,575,
1530,AIRESEARCH,TPE331-8 SER,Turbo-prop,715,
1531,AIRESEARCH,TPE331-43-A,Turbo-prop,575,
1532,AIRESEARCH,TPE331-43-B,Turbo-prop,575,
1533,AIRESEARCH,TPE331-45,Turbo-prop,575,
1534,AIRESEARCH,TPE331-47,Turbo-prop,575,
1535,AIRESEARCH,TPE331-47-A,Turbo-prop,575,
1536,AIRESEARCH,TPE331-47-B,Turbo-prop,575,
1537,AIRESEARCH,TPE331-51,Turbo-prop,575,
1538,AIRESEARCH,TPE331-55,Turbo-prop,575,
1539,AIRESEARCH,TPE331-55-A,Turbo-prop,575,
1540,AIRESEARCH,TPE331-55-B,Turbo-prop,575,
1541,AIRESEARCH,TPE331-57,Turbo-prop,575,
1542,AIRESEARCH,TPE331-57-B,Turbo-prop,575,
1543,AIRESEARCH,TPE331-61,Turbo-prop,575,
1544,AIRESEARCH,TPE331-61-A,Turbo-prop,575,
1545,AIRESEARCH,TPE331-1,Turbo-prop,665,
1546,AIRESEARCH,TPE331-1U,Turbo-prop,665,
1547,AIRESEARCH,TPE-331-5254K,Turbo-prop,718,
1551,AIRESEARCH,TPE331-3,Turbo-prop,840,
1552,AIRESEARCH,TPE331-3U,Turbo-prop,840,
1553,AIRESEARCH,TPE331-3UW,Turbo-prop,840,
1554,AIRESEARCH,TPE331-3W,Turbo-prop,840,
1555,AIRESEARCH,TPE331-10UA,Turbo-prop,840,
1556,AIRESEARCH,TPE331-5,Turbo-prop,776,
1557,AIRESEARCH,TPE331-5A,Turbo-prop,840,
1558,AIRESEARCH,TPE331-5AB,Turbo-prop,840,
1559,AIRESEARCH,TPE331-5B,Turbo-prop,776,
1560,AIRESEARCH,TPE331-5U,Turbo-prop,776,
1561,AIRESEARCH,TPE331-6,Turbo-prop,750,
1562,AIRESEARCH,TPE331-6A,Turbo-prop,750,
1563,AIRESEARCH,TPE331-6U,Turbo-prop,750,
1564,AIRESEARCH,TPE331-8,Turbo-prop,715,
1565,AIRESEARCH,TPE331-8A,Turbo-prop,715,
1566,AIRESEARCH,TPE331-9,Turbo-prop,865,
1567,AIRESEARCH,TPE331-9U,Turbo-prop,865,
1568,AIRESEARCH,TPE331-10,Turbo-prop,940,
1569,AIRESEARCH,TPE331-10A,Turbo-prop,940,
1570,AIRESEARCH,TPE331-10AV,Turbo-prop,750,
1571,AIRESEARCH,TPE331-10B,Turbo-prop,940,
1572,AIRESEARCH,TPE331-10G,Turbo-prop,940,
1573,AIRESEARCH,TPE331-10GP,Turbo-prop,840,
1574,AIRESEARCH,TPE331-10GR,Turbo-prop,940,
1575,AIRESEARCH,TPE331-10GT,Turbo-prop,840,
1576,AIRESEARCH,TPE331-10J,Turbo-prop,1000,
1577,AIRESEARCH,TPE331-10N,Turbo-prop,715,
1578,AIRESEARCH,TPE331-10P,Turbo-prop,776,
1579,AIRESEARCH,TPE331-10R,Turbo-prop,940,
1580,AIRESEARCH,TPE331-10T,Turbo-prop,776,
1581,AIRESEARCH,TPE331-10U,Turbo-prop,940,
1582,AIRESEARCH,TPE331-10UF,Turbo-prop,940,
1583,AIRESEARCH,TPE-331-10UG,Turbo-prop,940,
1584,AIRESEARCH,TPE331-10UGR,Turbo-prop,940,
1585,AIRESEARCH,TPE331-10UJ,Turbo-prop,1000,
1586,AIRESEARCH,TPE331-10UK,Turbo-prop,1000,
1587,AIRESEARCH,TPE331-10UR,Turbo-prop,940,
1588,AIRESEARCH,TPE331-11U,Turbo-prop,1000,
1589,AIRESEARCH,TPE331-11UA,Turbo-prop,1000,
1590,AIRESEARCH,TPE331-12,Turbo-prop,940,
1591,AIRESEARCH,TPE331-12B,Turbo-prop,1100,
1592,AIRESEARCH,TPE331-12JR,Turbo-prop,1000,
1593,AIRESEARCH,TPE331-12UA,Turbo-prop,1100,
1594,AIRESEARCH,TPE331-12UAR,Turbo-prop,1100,
1595,AIRESEARCH,TPE331-12UER,Turbo-prop,1100,
1596,AIRESEARCH,TPE331-12UHR,Turbo-prop,1100,
1597,AIRESEARCH,TSE331-3U,Turbo-shaft,800,
1598,AIRESEARCH,TSE36-1,Turbo-shaft,240,
1599,AIRESEARCH,TFE731-3R-1H,Turbo-fan,,3880
1647,ALLIANCE,TPE331-1UA,Turbo-prop,665,
1648,ALLIANCE,TPE331-2,Turbo-prop,715,
1649,AIRESEARCH,TPE331-2U,Turbo-prop,715,
1650,AIRESEARCH,TPE331-2UA,Turbo-prop,715,
1651,ALISPORT,A302EFI,Reciprocating,28,
1652,HONEYWELL,TPE331-2-201A,Turbo-prop,715,
2001,ALLIANCE,HESS WARRIOR,Reciprocating,115,
2500,ALLIEDSIGN,CFE-738 SER,Turbo-fan,2800,
2501,ALLIEDSIGN,T5317A-1,Turbo-shaft,1500,
2502,ALLIEDSIGN,TFE 731-2B,Turbo-jet,,3500
2503,ALLIEDSIGN,LF507-1F,Turbo-jet,4600,
2504,ALLIEDSIGN,TFE731-60,Turbo-fan,,5000
2505,ALLIEDSIGN,TPE331-12UHR,Turbo-prop,1100,
2506,ALLIEDSIGN,TFE731-40-1C,Turbo-fan,,4000
2507,ALLIEDSIGN,TPE 331 SER,Turbo-fan,904,
2508,ALLIEDSIGN,TFE731-5BR,Turbo-fan,,4750
2509,ALLIEDSIGN,TFE731 SERIES,Turbo-fan,,3500
2510,ALLIEDSIGN,T5309A,Turbo-shaft,1100,
2511,ALLIEDSIGN,T5309B,Turbo-shaft,1100,
2512,ALLIEDSIGN,T5309C,Turbo-shaft,1100,
2513,ALLIEDSIGN,T5311A,Turbo-shaft,1100,
2514,ALLIEDSIGN,T5311B,Turbo-shaft,1100,
2515,ALLIEDSIGN,TFE731-20,Turbo-fan,,3500
2516,ALLIEDSIGN,TFE731-20AR,Turbo-fan,,3650
2517,ALLIEDSIGN,TFE731-20BR,Turbo-fan,,3650
2518,ALLIEDSIGN,TFE731-20R,Turbo-fan,,3650
2519,ALLIEDSIGN,TFE731-40,Turbo-fan,,4250
2520,ALLIEDSIGN,TFE731-40R,Turbo-fan,,4462
2521,ALLIEDSIGN,TFE731-40AR,Turbo-fan,,4420
2522,ALLIEDSIGN,LTC1B-1,Turbo-shaft,860,
2523,ALLIEDSIGN,TPE331-25A,Turbo-prop,575,
2524,ALLIEDSIGN,TPE331-25AA,Turbo-prop,575,
2525,ALLIEDSIGN,TPE331-25AB,Turbo-prop,575,
2526,ALLIEDSIGN,TPE331-25B,Turbo-prop,575,
2527,ALLIEDSIGN,TPE331-25C,Turbo-prop,575,
2528,ALLIEDSIGN,TPE331-25D,Turbo-prop,575,
2529,ALLIEDSIGN,TPE331-25DA,Turbo-prop,575,
2530,ALLIEDSIGN,TPE331-25DB,Turbo-prop,575,
2531,ALLIEDSIGN,TPE331-25E,Turbo-prop,575,
2532,ALLIEDSIGN,TPE331-25FA,Turbo-prop,575,
2533,ALLIEDSIGN,TPE331-25FA,Turbo-prop,575,
2534,ALLIEDSIGN,TPE331-29A,Turbo-prop,575,
2535,ALLIEDSIGN,TPE331-43,Turbo-prop,575,
2536,ALLIEDSIGN,TPE331-43-A,Turbo-prop,575,
2537,ALLIEDSIGN,TPE331-43-B,Turbo-prop,575,
2538,ALLIEDSIGN,TPE331-45,Turbo-prop,575,
2539,ALLIED SIG,TPE331-47,Turbo-prop,575,
2540,ALLIEDSIGN,TPE331-47-A,Turbo-prop,575,
2541,ALLIEDSIGN,TPE331-47-B,Turbo-prop,575,
2542,ALLIEDSIGN,TPE331-51,Turbo-prop,575,
2543,ALLIEDSIGN,TPE331-55,Turbo-prop,575,
2544,ALLIEDSIGN,TPE331-55-A,Turbo-prop,575,
2545,ALLIEDSIGN,TPE331-55-B,Turbo-prop,575,
2546,ALLIEDSIGN,TPE331-57,Turbo-prop,575,
2547,ALLIEDSIGN,TPE331-57-B,Turbo-prop,575,
2548,ALLIEDSIGN,TPE331-61,Turbo-prop,575,
2549,ALLIEDSIGN,TPE331-61-A,Turbo-prop,575,
2550,ALLIEDSIGN,TPE331-1,Turbo-prop,665,
2551,ALLIEDSIGN,TPE331-1U,Turbo-prop,665,
2552,ALLIEDSIGN,TPE331-1UA,Turbo-prop,665,
2553,ALLIEDSIGN,TPE331-2,Turbo-prop,715,
2554,ALLIEDSIGN,TPE331-2U,Turbo-prop,715,
2555,ALLIEDSIGN,TPE331-2UA,Turbo-prop,715,
2556,ALLIEDSIGN,T5508D,Turbo-shaft,2250,
2557,ALLIEDSIGN,AL5512,Turbo-shaft,4075,
2558,ALLIEDSIGN,TPE331-3,Turbo-prop,840,
2559,ALLIEDSIGN,TPE331-3U,Turbo-prop,840,
2560,ALLIEDSIGN,TPE331-3UW,Turbo-prop,840,
2561,ALLIEDSIGN,TPE331-3W,Turbo-prop,840,
2562,ALLIEDSIGN,TPE331-10UA,Turbo-prop,840,
2563,ALLIEDSIGN,TPE331-5,Turbo-prop,776,
2565,ALLIEDSIGN,TPE331-5AB,Turbo-prop,840,
2566,ALLIEDSIGN,TPE331-5B,Turbo-prop,776,
2567,ALLIEDSIGN,TPE331-5U,Turbo-prop,776,
2568,ALLIEDSIGN,TPE331-6,Turbo-prop,750,
2569,ALLIEDSIGN,TPE331-6A,Turbo-prop,750,
2570,ALLIEDSIGN,TPE331-6U,Turbo-prop,750,
2571,ALLIEDSIGN,TPE331-8,Turbo-prop,715,
2572,ALLIEDSIGN,TPE331-8A,Turbo-prop,715,
2573,ALLIEDSIGN,TPE331-9,Turbo-prop,865,
2574,ALLIEDSIGN,TPE331-9U,Turbo-prop,865,
2575,ALLIEDSIGN,TPE331-10,Turbo-prop,940,
2576,ALLIEDSIGN,TPE331-10A,Turbo-prop,940,
2577,ALLIEDSIGN,TPE331-10AV,Turbo-prop,750,
2578,ALLIEDSIGN,TPE331-10B,Turbo-prop,940,
2579,ALLIEDSIGN,TPE331-10G,Turbo-prop,940,
2580,ALLIEDSIGN,TPE331-10GP,Turbo-prop,840,
2581,ALLIEDSIGN,TPE331-10GR,Turbo-prop,940,
2582,ALLIEDSIGN,TPE331-10GT,Turbo-prop,840,
2583,ALLIEDSIGN,TPE331-10J,Turbo-prop,1000,
2584,ALLIEDSIGN,TPE331-10N,Turbo-prop,715,
2585,ALLIEDSIGN,TPE331-10P,Turbo-prop,776,
2586,ALLIEDSIGN,TPE331-10R,Turbo-prop,940,
2587,ALLIEDSIGN,TPE331-10T,Turbo-prop,776,
2588,ALLIEDSIGN,TPE331-10U,Turbo-prop,940,
2589,ALLIEDSIGN,TPE331-10UF,Turbo-prop,940,
2590,ALLIEDSIGN,TPE-331-10UG,Turbo-prop,940,
2591,ALLIEDSIGN,TPE331-10UGR,Turbo-prop,940,
2592,ALLIEDSIGN,TPE331-10UJ,Turbo-prop,1000,
2593,ALLIEDSIGN,TPE331-10UK,Turbo-prop,1000,
2594,ALLIEDSIGN,TPE331-10UR,Turbo-prop,940,
2595,ALLIEDSIGN,TPE331-11U,Turbo-prop,1000,
2596,ALLIEDSIGN,TPE331-11UA,Turbo-prop,1000,
2597,ALLIEDSIGN,TPE331-12,Turbo-prop,940,
2598,ALLIEDSIGN,TPE331-12B,Turbo-prop,1100,
2599,ALLIEDSIGN,TPE331-12JR,Turbo-prop,1000,
2600,ALLIEDSIGN,TPE331-12UA,Turbo-prop,1100,
2601,ALLIEDSIGN,TPE331-12UAR,Turbo-prop,1100,
2602,ALLIEDSIGN,TPE331-12UER,Turbo-prop,1100,
2603,ALLIEDSIGN,TSE331-3U,Turbo-shaft,800,
2604,ALLIEDSIGN,T5307A,Turbo-prop,1100,
2605,ALLIEDSIGN,ATF3-6,Turbo-fan,5440,
2606,ALLIEDSIGN,ATF3-6A,Turbo-fan,5440,
2607,ALLIEDSIGN,TFE731-2,Turbo-fan,,3500
2608,ALLIEDSIGN,TFE731-2A,Turbo-fan,,3600
2609,ALLIEDSIGN,TFE731-2BR,Turbo-fan,,3650
2610,ALLIEDSIGN,TFE731-2C,Turbo-fan,,3500
2611,ALLIEDSIGN,TFE731-3,Turbo-fan,,3700
2612,ALLIEDSIGN,TFE731-3R,Turbo-fan,,3880
2613,ALLIEDSIGN,TFE731-3A,Turbo-fan,,3700
2614,ALLIEDSIGN,TFE731-3AR,Turbo-fan,,3880
2615,ALLIEDSIGN,TFE731-3B,Turbo-fan,,3650
2616,ALLIEDSIGN,TFE731-3BR,Turbo-fan,,3850
2617,ALLIEDSIGN,TFE731-3C,Turbo-fan,,3700
2618,ALLIEDSIGN,TFE731-3CR,Turbo-fan,,3880
2619,ALLIEDSIGN,TFE731-3D,Turbo-fan,,3700
2620,ALLIEDSIGN,TFE731-3DR,Turbo-fan,,3880
2621,ALLIEDSIGN,TFE731-4,Turbo-fan,,4080
2622,ALLIEDSIGN,TFE731-4R,Turbo-fan,,4080
2623,ALLIEDSIGN,TFE731-5,Turbo-fan,,4304
2624,ALLIEDSIGN,TFE731-5A,Turbo-fan,,4500
2625,ALLIEDSIGN,TFE731-5AR,Turbo-fan,,4500
2626,ALLIEDSIGN,TFE731-5B,Turbo-fan,,4750
2627,ALLIEDSIGN,TFE731-5R,Turbo-fan,,4500
2628,ALLIEDSIGN,LTP101-600,Turbo-prop,599,
2629,ALLIEDSIGN,LTP101-600A,Turbo-prop,599,
2630,ALLIEDSIGN,LTP101-600A1A,Turbo-prop,599,
2631,ALLIEDSIGN,LTP101-700A1A,Turbo-prop,671,
2632,ALLIEDSIGN,T5313B,Turbo-shaft,1400,
2633,ALLIEDSIGN,T5317A,Turbo-shaft,1500,
2634,ALLIEDSIGN,T5317B,Turbo-shaft,1500,
2635,ALLIEDSIGN,TPE331-14A,Turbo-prop,1250,
2636,ALLIEDSIGN,TPE331-14B,Turbo-prop,1250,
2637,ALLIEDSIGN,TPE331-14F,Turbo-prop,1250,
2638,ALLIEDSIGN,TPE331-14GR,Turbo-prop,1650,
2639,ALLIEDSIGN,TPE331-14HR,Turbo-prop,1650,
2640,ALLIEDSIGN,TPE331-15AW,Turbo-prop,1645,
2641,ALLIEDSIGN,ALF502L,Turbo-fan,,7500
2642,ALLIEDSIGN,ALF502L-2,Turbo-fan,,7500
2643,ALLIEDSIGN,ALF502L-2A,Turbo-fan,,7500
2644,ALLIEDSIGN,ALF502L-2C,Turbo-fan,,7500
2645,ALLIEDSIGN,ALF502L-3,Turbo-fan,,7500
2646,ALLIEDSIGN,ALF502R-3,Turbo-fan,,6700
2647,ALLIEDSIGN,ALF502R-3A,Turbo-fan,,6970
2648,ALLIEDSIGN,ALF502R-4,Turbo-fan,,6970
2649,ALLIEDSIGN,ALF502R-5,Turbo-fan,,6970
2650,ALLIEDSIGN,ALF502R-6,Turbo-fan,,7500
2651,ALLIEDSIGN,ALF507-1H,Turbo-fan,,7000
2652,ALLIEDSIGN,ALF507-1F,Turbo-fan,,7000
2655,ALLIEDSIGN,TFE731-5BR-C1,Turbo-fan,,4750
2656,ALLIEDSIGN,LTS101-750B-1,Turbo-shaft,550,
3000,ALLISON,501 SER,Turbo-prop,4680,
3001,ALLISON,V1710 SERIES,Turbo-shaft,1500,
3002,ALLISON,250 SER 250HP,Turbo-shaft,250,
3003,ALLISON,250 SER 250HP,Turbo-prop,250,
3004,ALLISON,501-D13 SER,Turbo-prop,3750,
3005,ALLISON,501-D22,Turbo-prop,4050,
3006,ALLISON,501-D22A,Turbo-prop,4680,
3007,ALLISON,J33-A SERIES,Turbo-jet,635,
3008,ALLISON,J35-A SERIES,Turbo-jet,750,
3009,ALLISON,T-56-A-7 SER,Turbo-prop,4050,
3011,ALLISON,250 SER 317HP,Turbo-shaft,317,
3012,ALLISON,250 SER 400HP,Turbo-prop,400,
3013,ALLISON,250 SER 400HP,Turbo-shaft,400,
3014,ALLISON,250 SERIES,Turbo-prop,300,
3015,ALLISON,250-C30 SER,Turbo-shaft,650,
3017,ALLISON,250-B17 SER,Turbo-prop,400,
3018,ALLISON,250-B17 SER,Turbo-shaft,450,
3019,ALLISON,250 SER,Reciprocating,420,
3020,ALLISON,250-C20 SER,Turbo-prop,420,
3021,ALLISON,250-C28 SER,Turbo-prop,500,
3022,ALLISON,250-C28 SER,Turbo-shaft,500,
3023,ALLISON,T56-A-15 SER,Turbo-prop,4910,
3024,ALLISON,A225-C10A,Turbo-shaft,350,
3025,ALLISON,T56A11 SER,Turbo-prop,4900,
3026,ALLISON,T-56A-9,Turbo-prop,3750,
3027,ALLISON,AE2100SER,Turbo-prop,4125,
3028,ALLISON,AE3007C SER,Turbo-fan,,6442
3029,ALLISON,250-C47,Turbo-shaft,600,
3030,ALLISON,AE 3007A,Turbo-fan,,7580
3031,ALLISON,T63 SERIES,Turbo-shaft,250,
3032,ALLISON,T-56-A-10W,Turbo-prop,4500,
3033,ALLISON,T56-A-16,Turbo-prop,4910,
3035,ALLISON,250-C10D,Turbo-shaft,317,
3036,ALLISON,AE 3007A1/3,Turbo-fan,,7580
3037,ALLISON,T56-10 SER,Turbo-prop,4000,
3040,ALLISON,V1710 SER,Reciprocating,1500,
3041,ALLISON,AE 1107C,Turbo-shaft,4637,
3042,ALLISON,AE 2100A,Turbo-prop,4152,
3043,ALLISON,AE 2100C,Turbo-prop,3271,
3044,ALLISON,AE 2100D2,Turbo-prop,4637,
3045,ALLISON,AE 2100D3,Turbo-prop,4637,
3046,ALLISON,AE 2100J,Turbo-prop,4591,
3047,ALLISON,AE 3007C,Turbo-fan,,6442
3048,ALLISON,AE 3007A1/1,Turbo-fan,,7580
3049,ALLISON,AE 3007A1/2,Turbo-fan,,7580
3050,ALLISON,AE 3007A1,Turbo-fan,,7580
3051,ALLISON,AE 3007A1P,Turbo-fan,,8338
3052,ALLISON,AE 3007A3,Turbo-fan,,7201
3053,ALLISON,AE 3007C1,Turbo-fan,,6764
3054,ALLISON,AE 3007A1E,Turbo-fan,,8917
3055,ALLISON,501-D13,Turbo-prop,3750,
3056,ALLISON,501-D13A,Turbo-prop,3750,
3057,ALLISON,501-D13D,Turbo-prop,3750,
3058,ALLISON,501-D13E,Turbo-prop,3750,
3059,ALLISON,501-D13H,Turbo-prop,3750,
3060,ALLISON,501-D22C,Turbo-prop,4680,
3061,ALLISON,502-D22G,Turbo-prop,4815,
3062,ALLISON,250-B15A,Turbo-prop,317,
3063,ALLISON,250-B15E,Turbo-prop,317,
3064,ALLISON,250-B15G,Turbo-prop,317,
3065,ALLISON,250-B17,Turbo-prop,400,
3066,ALLISON,250-B17B,Turbo-prop,400,
3067,ALLISON,250-B17C,Turbo-prop,420,
3068,ALLISON,250-B17D,Turbo-prop,420,
3069,ALLISON,250-B17E,Turbo-prop,420,
3070,ALLISON,250-B17F,Turbo-prop,450,
3071,ALLISON,250-B17F/1,Turbo-prop,450,
3072,ALLISON,250-B17F/2,Turbo-prop,450,
3073,ALLISON,250-C10,Turbo-shaft,250,
3074,ALLISON,250-C10B,Turbo-shaft,317,
3075,ALLISON,250-C18,Turbo-shaft,317,
3076,ALLISON,250-C18A,Turbo-shaft,317,
3077,ALLISON,250-C19,Turbo-shaft,317,
3078,ALLISON,250-C18B,Turbo-shaft,317,
3079,ALLISON,250-C18C,Turbo-shaft,317,
3080,ALLISON,250-C20,Turbo-shaft,400,
3081,ALLISON,250-C20B,Turbo-shaft,420,
3082,ALLISON,250-C20C,Turbo-shaft,420,
3083,ALLISON,T63-A-720,Turbo-shaft,420,
3084,ALLISON,T63-A-5,Turbo-shaft,250,
3085,ALLISON,T63-A-5A,Turbo-shaft,317,
3086,ALLISON,T63-A-700,Turbo-shaft,317,
3087,ALLISON,250-C20F,Turbo-shaft,420,
3088,ALLISON,250-C20J,Turbo-shaft,420,
3089,ALLISON,250-C20S,Turbo-shaft,420,
3090,ALLISON,250-C20R,Turbo-shaft,450,
3091,ALLISON,250-C20R/1,Turbo-shaft,450,
3092,ALLISON,250-C20R/2,Turbo-shaft,450,
3093,ALLISON,250-C20R/4,Turbo-shaft,450,
3094,ALLISON,225-C10,Turbo-shaft,350,
3095,ALLISON,225-C10A,Turbo-shaft,350,
3096,ALLISON,250-C20W,Turbo-shaft,420,
3097,ALLISON,250-C30,Turbo-shaft,650,
3098,ALLISON,250-C30S,Turbo-shaft,650,
3099,ALLISON,250-C30P,Turbo-shaft,650,
3100,ALLISON,250-C30M,Turbo-shaft,650,
3101,ALLISON,250-C30R,Turbo-shaft,650,
3102,ALLISON,T703-AD-700,Turbo-shaft,650,
3103,ALLISON,250-C30G,Turbo-shaft,650,
3104,ALLISON,250-C30U,Turbo-shaft,650,
3105,ALLISON,250-C30G/2,Turbo-shaft,650,
3106,ALLISON,250-C30R/1,Turbo-shaft,650,
3107,ALLISON,T703-AD-700B,Turbo-shaft,650,
3108,ALLISON,250-C40B,Turbo-shaft,715,
3109,ALLISON,250-C47B,Turbo-shaft,650,
3110,ALLISON,250-C47M,Turbo-shaft,650,
3111,ALLISON,250-C30R/3,Turbo-shaft,650,
3112,ALLISON,250-C30R/3M,Turbo-shaft,650,
3113,ALLISON,250-C28,Turbo-shaft,500,
3114,ALLISON,250-C28B,Turbo-shaft,500,
3115,ALLISON,250-C28C,Turbo-shaft,500,
3116,ALLISON,501-D22G,Turbo-prop,4815,
3120,ALLISON,T56-A-14,Turbo-prop,5300,
3808,ALVIS,514/SER,Reciprocating,560,
3809,ALVIS,504/5A,Reciprocating,545,
3810,ALVIS,504/6A,Reciprocating,545,
3811,ALVIS,504/7A,Reciprocating,545,
3812,ALVIS,504/8,Reciprocating,545,
3813,ALVIS,503/5A,Reciprocating,545,
3814,ALVIS,503/6A,Reciprocating,545,
3815,ALVIS,503/7A,Reciprocating,545,
3816,ALVIS,503/8,Reciprocating,545,
3817,ALVIS,502/5A,Reciprocating,545,
3818,ALVIS,502/6A,Reciprocating,545,
3819,ALVIS,502/7A,Reciprocating,545,
3820,ALVIS,502/8,Reciprocating,545,
3821,ALVIS,514/5,Reciprocating,560,
3822,ALVIS,514/5A,Reciprocating,560,
3823,ALVIS,514/6,Reciprocating,560,
3824,ALVIS,514/6A,Reciprocating,560,
3825,ALVIS,514/8,Reciprocating,560,
3826,ALVIS,514/8A,Reciprocating,560,
3827,ALVIS,514/7,Reciprocating,560,
3828,ALVIS,514/7A,Reciprocating,560,
3829,ALVIS,531/8,Reciprocating,650,
3830,ALVIS,531/8B,Reciprocating,635,
4001,AMERICAN,S5-125,Reciprocating,125,
4501,AMES,TRS 18-046,Turbo-jet,,198
4564,ROLL-ROYC,TAY 620-15,Turbo-fan,13850,
4701,ANZANI,Y,Reciprocating,35,
4702,ANZANI,W-3,Reciprocating,25,
5302,ARDEM,4 C02,Reciprocating,30,
5403,ARGUS,AS10C-3,Reciprocating,240,
5404,ARGUS,AS10R,Reciprocating,250,
5405,ARGUS,AS410-A2,Reciprocating,459,
5406,ARGUS,AS10-P,Reciprocating,250,
5501,ARMST SIDD,GENET MARK 11,Reciprocating,80,
6001,ARROW,V8F,Reciprocating,82,
6100,ASZ,621R,Reciprocating,967,
6301,AUDI,TDI,4 Cycle,245,
6400,AUSTRO,E4 SERIES,Reciprocating,168,
